Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5",0805,4,1uF,
C2,0805,1,10nF,
D1,D_0805,1,White,C34499
D2,D_0805,1,Yellow,C2296
D3,D_0805,1,Green,C2297
D4,D_0603,1,Red,C2286
"D5, D6",D_SOD-323,2,1N5819WS,C191023
"D7, D8",D_DFN1006-2L,2,H3V3L10B,C20615781
FB2,FB_0805,1,~,C1015
"Q1, Q2, Q3",Q_SOT-23,3,HL2307,C28646274
"R1, R2",0201,2,5.1k,
R10,0805,1,2.5k,
"R11, R3, R6",0805,3,10k,
"R12, R13",0805,2,330,
"R4, R5",0805,2,4.7k,
"R7, R8",0805,2,50,
R9,0805,1,1k,
S1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,"Tactile Button, 160gf",C318884
U1,USB-SMD_TYPE-C16PIN-1,1,~,
U2,WIFIM-SMD_ESP32-C3-MINI-1,1,~,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,LGA-14_L3.0-W2.5-P0.50-TL_QMI8658A,1,~,
U5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,TP4057,C12044
U6,Untitled,1,~,
